Y:\Meghan's Experiments\AMBVAR\b_tap.emrg																															
ExperimentName	Subject	Session	Clock.Information	Clock.StartTimeOfDay	Clock.SystemTimeDrift	Clock.SystemTimeDriftWarning	Display.RefreshRate	Group	RandomSeed	SessionDate	SessionTime	SessionTimeUtc	Block	BlockA	BlockA.Cycle	BlockA.Sample	correct	Procedure	Running	SEEaWORD.ACC	SEEaWORD.CRESP	SEEaWORD.DurationError	SEEaWORD.OnsetDelay	SEEaWORD.OnsetTime	SEEaWORD.RESP	SEEaWORD.RT	SEEaWORD.RTTime	sound	tap_cas	type	word
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	21	91	1	21	1	BlockAProc	BlockA	1	1	-999999	1	132336	1	548	132884	oven.wav		filler	cuzzle
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	22	60	1	22	1	BlockAProc	BlockA	1	1	-999999	1	135069	1	597	135666	revere.wav		filler	pilming
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	23	29	1	23	5	BlockAProc	BlockA	1	5	-999999	1	137902	5	558	138460	cracker.wav		filler	chips
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	24	21	1	24	5	BlockAProc	BlockA	1	5	-999999	0	140651	5	560	141211	budding.wav	tap	control	eve
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	25	36	1	25	5	BlockAProc	BlockA	1	5	-999999	1	143402	5	425	143827	oil.wav		filler	water
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	26	48	1	26	5	BlockAProc	BlockA	1	5	-999999	1	146019	5	463	146482	fashion.wav		filler	recording
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	27	4	1	27	5	BlockAProc	BlockA	1	5	-999999	1	148685	5	461	149146	madder.wav	tap	t-related	mass
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	28	63	1	28	1	BlockAProc	BlockA	1	1	-999999	1	151335	1	550	151885	sassy.wav		filler	flingert
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	29	45	1	29	5	BlockAProc	BlockA	1	5	-999999	1	154085	5	645	154730	cupboard.wav		filler	fingernail
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	30	52	1	30	1	BlockAProc	BlockA	1	1	-999999	0	156918	1	563	157481	mother.wav		filler	eller
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	31	78	1	31	1	BlockAProc	BlockA	1	1	-999999	16	159668	1	557	160225	graveyard.wav		filler	fimp
